
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2013-09-08,29-220,SFO,,GNB,W 34-28,9,6,98,16.33,2,2,12
2,2,2013-09-15,29-227,SFO,@,SEA,L 3-29,5,3,20,6.67,0,0,0
3,4,2013-09-26,29-238,SFO,@,STL,W 35-11,4,2,18,9.00,1,1,6
4,5,2013-10-06,29-248,SFO,,HOU,W 34-3,6,3,88,29.33,1,1,6
5,6,2013-10-13,29-255,SFO,,ARI,W 32-20,11,8,180,22.50,2,2,12
6,7,2013-10-20,29-262,SFO,@,TEN,W 31-17,8,4,62,15.50,0,0,0
7,8,2013-10-27,29-269,SFO,@,JAX,W 42-10,4,3,52,17.33,1,1,6
8,9,2013-11-10,29-283,SFO,,CAR,L 9-10,2,1,2,2.00,0,0,0
9,10,2013-11-17,29-290,SFO,@,NOR,L 20-23,5,4,33,8.25,1,1,6
10,11,2013-11-25,29-298,SFO,@,WAS,W 27-6,7,4,70,17.50,1,1,6
11,12,2013-12-01,29-304,SFO,,STL,W 23-13,5,4,82,20.50,1,1,6
12,13,2013-12-08,29-311,SFO,,SEA,W 19-17,3,2,21,10.50,1,1,6
13,14,2013-12-15,29-318,SFO,@,TAM,W 33-14,7,5,79,15.80,1,1,6
14,15,2013-12-23,29-326,SFO,,ATL,W 34-24,3,0,0,,0,0,0
15,16,2013-12-29,29-332,SFO,@,ARI,W 23-20,5,3,45,15.00,1,1,6
,,15 Games,,,,,12-3-0,84,52,850,16.35,13,13,78
