
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,28-120,SFO,,SEA,W 33-17,22,59,2.68,0,4,3,19,6.33,0,0,0,0.0,0,0
2,2,2011-09-18,28-127,SFO,,DAL,L 24-27,20,47,2.35,1,3,3,17,5.67,0,1,6,0.0,0,0
3,3,2011-09-25,28-134,SFO,@,CIN,W 13-8,17,42,2.47,0,2,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,28-141,SFO,@,PHI,W 24-23,15,127,8.47,1,2,2,12,6.00,0,1,6,0.0,0,0
5,5,2011-10-09,28-148,SFO,,TAM,W 48-3,20,125,6.25,1,2,2,18,9.00,0,1,6,0.0,1,0
6,6,2011-10-16,28-155,SFO,@,DET,W 25-19,15,141,9.40,1,5,2,5,2.50,0,1,6,0.0,0,0
7,7,2011-10-30,28-169,SFO,,CLE,W 20-10,31,134,4.32,1,0,0,0,,0,1,6,0.0,0,0
8,8,2011-11-06,28-176,SFO,@,WAS,W 19-11,19,107,5.63,0,3,1,7,7.00,0,0,0,0.0,0,0
9,9,2011-11-13,28-183,SFO,,NYG,W 27-20,6,0,0.00,0,1,1,8,8.00,0,0,0,0.0,0,0
10,10,2011-11-20,28-190,SFO,,ARI,W 23-7,24,88,3.67,0,2,1,6,6.00,0,0,0,0.0,0,0
11,11,2011-11-24,28-194,SFO,@,BAL,L 6-16,14,39,2.79,0,2,1,9,9.00,0,0,0,0.0,0,0
12,12,2011-12-04,28-204,SFO,,STL,W 26-0,21,73,3.48,0,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,28-211,SFO,@,ARI,L 19-21,10,72,7.20,1,1,0,0,,0,1,6,0.0,0,0
14,14,2011-12-19,28-219,SFO,,PIT,W 20-3,18,65,3.61,1,3,0,0,,0,1,6,0.0,0,0
15,15,2011-12-24,28-224,SFO,@,SEA,W 19-17,23,83,3.61,1,1,1,13,13.00,0,1,6,0.0,0,0
16,16,2012-01-01,28-232,SFO,@,STL,W 34-27,7,9,1.29,0,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,13-3-0,282,1211,4.29,8,31,17,114,6.71,0,8,48,0.0,1,0
