
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,29-118,SFO,@,GNB,W 30-22,16,112,7.00,1,1,1,1,1.00,0,1,6
2,2,2012-09-16,29-125,SFO,,DET,W 27-19,17,89,5.24,1,4,2,16,8.00,0,1,6
3,3,2012-09-23,29-132,SFO,@,MIN,L 13-24,12,63,5.25,0,2,1,9,9.00,0,0,0
4,4,2012-09-30,29-139,SFO,@,NYJ,W 34-0,20,64,3.20,1,2,2,13,6.50,0,1,6
5,5,2012-10-07,29-146,SFO,,BUF,W 45-3,14,106,7.57,1,0,0,0,,0,1,6
6,6,2012-10-14,29-153,SFO,,NYG,L 3-26,8,36,4.50,0,4,4,20,5.00,0,0,0
7,7,2012-10-18,29-157,SFO,,SEA,W 13-6,16,131,8.19,0,6,5,51,10.20,0,0,0
8,8,2012-10-29,29-168,SFO,@,ARI,W 24-3,16,55,3.44,0,1,1,11,11.00,0,0,0
9,9,2012-11-11,29-181,SFO,,STL,T 24-24,21,97,4.62,1,4,3,18,6.00,0,1,6
10,10,2012-11-19,29-189,SFO,,CHI,W 32-7,17,78,4.59,0,0,0,0,,0,0,0
11,11,2012-11-25,29-195,SFO,@,NOR,W 31-21,19,83,4.37,0,3,2,18,9.00,1,1,6
12,12,2012-12-02,29-202,SFO,@,STL,L 13-16,23,58,2.52,1,1,0,0,,0,1,6
13,13,2012-12-09,29-209,SFO,,MIA,W 27-13,12,63,5.25,1,2,2,22,11.00,0,1,6
14,14,2012-12-16,29-216,SFO,@,NWE,W 41-34,21,83,3.95,0,2,2,34,17.00,0,0,6
15,15,2012-12-23,29-223,SFO,@,SEA,L 13-42,6,28,4.67,0,1,0,0,,0,0,0
16,16,2012-12-30,29-230,SFO,,ARI,W 27-13,20,68,3.40,1,3,3,21,7.00,0,1,6
,,16 Games,,,,,11-4-1,258,1214,4.71,8,36,28,234,8.36,1,9,60
