
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-309,SFO,,GNB,W 34-28,*,27,39,69.23,412,3,0,129.4,10.56,12.10,7,22,3.14,0,0,0,0.0,0,0
2,2,2013-09-15,25-316,SFO,@,SEA,L 3-29,*,13,28,46.43,127,0,3,20.1,4.54,-0.29,9,87,9.67,0,0,0,0.0,0,0
3,3,2013-09-22,25-323,SFO,,IND,L 7-27,*,13,27,48.15,150,0,1,49.9,5.56,3.89,7,20,2.86,0,0,0,0.0,0,0
4,4,2013-09-26,25-327,SFO,@,STL,W 35-11,*,15,23,65.22,167,2,0,115.7,7.26,9.00,3,11,3.67,0,0,0,0.0,0,0
5,5,2013-10-06,25-337,SFO,,HOU,W 34-3,*,6,15,40.00,113,1,0,89.0,7.53,8.87,1,14,14.00,0,0,0,0.0,0,0
6,6,2013-10-13,25-344,SFO,,ARI,W 32-20,*,16,29,55.17,252,2,1,92.9,8.69,8.52,4,18,4.50,0,0,0,0.0,0,0
7,7,2013-10-20,25-351,SFO,@,TEN,W 31-17,*,13,21,61.90,199,0,0,93.2,9.48,9.48,11,68,6.18,1,1,6,0.0,0,0
8,8,2013-10-27,25-358,SFO,@,JAX,W 42-10,*,10,16,62.50,164,1,0,117.7,10.25,11.50,7,54,7.71,2,2,12,0.0,0,0
9,9,2013-11-10,26-007,SFO,,CAR,L 9-10,*,11,22,50.00,91,0,1,42.0,4.14,2.09,4,16,4.00,0,0,0,0.0,1,0
10,10,2013-11-17,26-014,SFO,@,NOR,L 20-23,*,17,31,54.84,127,2,1,72.9,4.10,3.94,3,25,8.33,0,0,0,0.0,0,0
11,11,2013-11-25,26-022,SFO,@,WAS,W 27-6,*,15,24,62.50,235,3,0,134.5,9.79,12.29,9,20,2.22,0,0,0,0.0,0,0
12,12,2013-12-01,26-028,SFO,,STL,W 23-13,*,19,28,67.86,275,1,0,111.5,9.82,10.54,4,21,5.25,0,0,0,0.0,0,0
13,13,2013-12-08,26-035,SFO,,SEA,W 19-17,*,15,29,51.72,175,1,1,67.5,6.03,5.17,9,31,3.44,0,0,0,0.0,0,0
14,14,2013-12-15,26-042,SFO,@,TAM,W 33-14,*,19,29,65.52,203,2,0,108.8,7.00,8.38,4,42,10.50,0,0,0,0.0,0,0
15,15,2013-12-23,26-050,SFO,,ATL,W 34-24,*,13,21,61.90,197,1,0,108.6,9.38,10.33,6,51,8.50,1,1,6,0.0,0,0
16,16,2013-12-29,26-056,SFO,@,ARI,W 23-20,*,21,34,61.76,310,2,0,111.2,9.12,10.29,4,24,6.00,0,0,0,0.0,0,0
,,16 Games,,,,,12-4-0,,243,416,58.41,3197,21,8,91.6,7.69,7.83,92,524,5.70,4,4,24,0.0,1,0
