
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2014-09-07,26-308,SFO,@,DAL,W 28-17,*,16,23,69.57,201,2,0,125.5,8.74,10.48,5,11,2.20,0,0,0
2,2,2014-09-14,26-315,SFO,,CHI,L 20-28,*,21,34,61.76,248,1,3,57.0,7.29,3.91,9,64,7.11,0,0,0
3,3,2014-09-21,26-322,SFO,@,ARI,L 14-23,*,29,37,78.38,245,1,0,103.3,6.62,7.16,12,54,4.50,0,0,0
4,4,2014-09-28,26-329,SFO,,PHI,W 26-21,*,17,30,56.67,218,2,1,87.9,7.27,7.10,7,58,8.29,0,0,0
5,5,2014-10-05,26-336,SFO,,KAN,W 22-17,*,14,26,53.85,201,1,0,92.0,7.73,8.50,10,18,1.80,0,0,0
6,6,2014-10-13,26-344,SFO,@,STL,W 31-17,*,22,35,62.86,343,3,0,123.9,9.80,11.51,3,37,12.33,0,0,0
7,7,2014-10-19,26-350,SFO,@,DEN,L 17-42,*,24,39,61.54,263,1,1,79.3,6.74,6.10,3,18,6.00,0,0,0
8,8,2014-11-02,26-364,SFO,,STL,L 10-13,*,22,33,66.67,237,1,0,97.7,7.18,7.79,5,14,2.80,0,0,0
9,9,2014-11-09,27-006,SFO,@,NOR,W 27-24,*,14,32,43.75,210,1,0,76.3,6.56,7.19,4,24,6.00,0,0,0
10,10,2014-11-16,27-013,SFO,@,NYG,W 16-10,*,15,29,51.72,193,1,0,84.4,6.66,7.34,8,24,3.00,0,0,0
11,11,2014-11-23,27-020,SFO,,WAS,W 17-13,*,20,29,68.97,256,1,1,93.5,8.83,7.97,9,14,1.56,0,0,0
12,12,2014-11-27,27-024,SFO,,SEA,L 3-19,*,16,29,55.17,121,0,2,36.7,4.17,1.07,3,17,5.67,0,0,0
13,13,2014-12-07,27-034,SFO,@,OAK,L 13-24,*,18,33,54.55,174,1,2,54.4,5.27,3.15,3,26,8.67,0,0,0
14,14,2014-12-14,27-041,SFO,@,SEA,L 7-17,*,11,19,57.89,141,0,0,81.2,7.42,7.42,9,46,5.11,0,0,0
15,15,2014-12-20,27-047,SFO,,SDG,L 35-38,*,15,24,62.50,114,1,0,87.8,4.75,5.58,7,151,21.57,1,1,6
16,16,2014-12-28,27-055,SFO,,ARI,W 20-17,*,15,26,57.69,204,2,0,108.5,7.85,9.38,7,63,9.00,0,0,0
,,16 Games,,,,,8-8-0,,289,478,60.46,3369,19,10,86.4,7.05,6.90,104,639,6.14,1,1,6
