
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,27-127,SFO,,SEA,W 33-17,*,15,20,75.00,124,0,0,90.4,6.20,6.20,7,22,3.14,1,1,6,0.0,0,0
2,2,2011-09-18,27-134,SFO,,DAL,L 24-27,*,16,24,66.67,179,2,1,99.1,7.46,7.25,3,21,7.00,0,0,0,0.0,1,0
3,3,2011-09-25,27-141,SFO,@,CIN,W 13-8,*,20,30,66.67,201,0,0,85.6,6.70,6.70,0,0,,0,0,0,0.0,0,0
4,4,2011-10-02,27-148,SFO,@,PHI,W 24-23,*,21,33,63.64,291,2,0,112.1,8.82,10.03,1,-1,-1.00,0,0,0,0.0,0,0
5,5,2011-10-09,27-155,SFO,,TAM,W 48-3,*,11,19,57.89,170,3,0,127.2,8.95,12.11,0,0,,0,0,0,0.0,0,0
6,6,2011-10-16,27-162,SFO,@,DET,W 25-19,*,17,32,53.13,125,1,1,60.0,3.91,3.13,2,5,2.50,0,0,0,0.0,0,0
7,7,2011-10-30,27-176,SFO,,CLE,W 20-10,*,15,24,62.50,177,1,0,98.8,7.38,8.21,4,22,5.50,0,0,0,0.0,0,0
8,8,2011-11-06,27-183,SFO,@,WAS,W 19-11,*,17,24,70.83,200,1,0,109.7,8.33,9.17,4,9,2.25,0,0,0,0.0,0,0
9,9,2011-11-13,27-190,SFO,,NYG,W 27-20,*,19,30,63.33,242,1,1,85.7,8.07,7.23,6,27,4.50,0,0,0,0.0,0,0
10,10,2011-11-20,27-197,SFO,,ARI,W 23-7,*,20,38,52.63,267,2,1,81.8,7.03,6.89,7,17,2.43,0,0,0,0.0,0,0
11,11,2011-11-24,27-201,SFO,@,BAL,L 6-16,*,15,24,62.50,140,0,1,61.1,5.83,3.96,2,12,6.00,0,0,0,0.0,0,0
12,12,2011-12-04,27-211,SFO,,STL,W 26-0,*,17,23,73.91,274,2,0,142.3,11.91,13.65,2,10,5.00,0,0,0,0.0,0,0
13,13,2011-12-11,27-218,SFO,@,ARI,L 19-21,*,18,37,48.65,175,0,0,62.3,4.73,4.73,1,-3,-3.00,0,0,0,0.0,0,0
14,14,2011-12-19,27-226,SFO,,PIT,W 20-3,*,18,31,58.06,187,1,0,86.4,6.03,6.68,3,12,4.00,0,0,0,0.0,0,0
15,15,2011-12-24,27-231,SFO,@,SEA,W 19-17,*,14,26,53.85,179,0,0,75.6,6.88,6.88,5,22,4.40,0,0,0,0.0,0,0
16,16,2012-01-01,27-239,SFO,@,STL,W 34-27,*,20,30,66.67,213,1,0,98.3,7.10,7.77,5,4,0.80,1,1,6,0.0,0,0
,,16 Games,,,,,13-3-0,,273,445,61.35,3144,17,5,90.7,7.07,7.32,52,179,3.44,2,2,12,0.0,1,0
