
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-280,TAM,,DET,L 20-27,5,15,3.00,0,0,0,0,,0,0,0,0.0,0,0
2,2,2011-09-18,24-287,TAM,@,MIN,W 24-20,13,71,5.46,2,0,0,0,,0,2,12,0.0,0,0
3,3,2011-09-25,24-294,TAM,,ATL,W 16-13,24,81,3.38,0,3,1,13,13.00,0,0,0,0.0,1,0
4,4,2011-10-03,24-302,TAM,,IND,W 24-17,25,127,5.08,1,2,1,14,14.00,0,1,6,0.0,0,0
5,5,2011-10-09,24-308,TAM,@,SFO,L 3-48,10,34,3.40,0,3,2,31,15.50,0,0,0,0.0,0,0
6,8,2011-11-06,24-336,TAM,@,NOR,L 16-27,13,72,5.54,0,3,2,8,4.00,0,0,0,0.0,0,0
7,9,2011-11-13,24-343,TAM,,HOU,L 9-37,10,34,3.40,0,2,1,0,0.00,0,0,0,0.0,0,0
8,10,2011-11-20,24-350,TAM,@,GNB,L 26-35,18,107,5.94,1,1,1,6,6.00,0,1,6,0.0,0,0
9,11,2011-11-27,24-357,TAM,@,TEN,L 17-23,20,103,5.15,0,3,3,56,18.67,0,0,0,0.0,1,0
10,12,2011-12-04,24-364,TAM,,CAR,L 19-38,11,19,1.73,0,2,0,0,,0,0,0,0.0,0,0
11,13,2011-12-11,25-006,TAM,@,JAX,L 14-41,18,74,4.11,1,2,1,6,6.00,0,1,6,0.0,0,0
12,14,2011-12-17,25-012,TAM,,DAL,L 15-31,9,21,2.33,0,0,0,0,,0,0,0,0.0,0,0
13,15,2011-12-24,25-019,TAM,@,CAR,L 16-48,2,11,5.50,0,0,0,0,,0,0,0,0.0,0,0
14,16,2012-01-01,25-027,TAM,@,ATL,L 24-45,6,12,2.00,0,4,3,14,4.67,0,0,0,0.0,0,0
,,14 Games,,,,,3-11-0,184,781,4.24,5,25,15,148,9.87,0,5,30,0.0,2,0
