
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,21-017,TAM,,CAR,L 14-20,9,5,37,7.40,0,0,0,0.0,1,0
2,2,2014-09-14,21-024,TAM,,STL,L 17-19,4,4,49,12.25,0,0,0,0.0,0,0
3,3,2014-09-18,21-028,TAM,@,ATL,L 14-56,7,4,52,13.00,0,0,0,0.0,0,0
4,4,2014-09-28,21-038,TAM,@,PIT,W 27-24,7,4,65,16.25,1,1,6,0.0,0,0
5,6,2014-10-12,21-052,TAM,,BAL,L 17-48,8,4,55,13.75,1,1,6,0.0,0,0
6,7,2014-10-26,21-066,TAM,,MIN,L 13-19,7,4,78,19.50,0,0,0,0.0,1,0
7,8,2014-11-02,21-073,TAM,@,CLE,L 17-22,11,7,124,17.71,2,2,12,0.0,0,0
8,9,2014-11-09,21-080,TAM,,ATL,L 17-27,9,7,125,17.86,1,1,6,0.0,0,0
9,10,2014-11-16,21-087,TAM,@,WAS,W 27-7,9,7,209,29.86,2,2,12,0.0,0,0
10,11,2014-11-23,21-094,TAM,@,CHI,L 13-21,11,3,47,15.67,1,1,6,0.0,1,0
11,12,2014-11-30,21-101,TAM,,CIN,L 13-14,8,4,49,12.25,0,0,0,0.0,0,0
12,13,2014-12-07,21-108,TAM,@,DET,L 17-34,11,4,45,11.25,2,2,12,0.0,0,0
13,14,2014-12-14,21-115,TAM,@,CAR,L 17-19,8,2,13,6.50,1,1,6,0.0,1,0
14,15,2014-12-21,21-122,TAM,,GNB,L 3-20,7,4,49,12.25,0,0,0,0.0,0,0
15,16,2014-12-28,21-129,TAM,,NOR,L 20-23,6,5,54,10.80,1,1,6,0.0,0,0
,,15 Games,,,,,2-13-0,122,68,1051,15.46,12,12,72,0.0,4,0
