
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1,2012-09-09,24-240,TAM,,CAR,W 16-10,*,16,24,66.67,138,1,0,95.5,5.75,6.58,7,13,1.86,0
2,2,2012-09-16,24-247,TAM,@,NYG,L 34-41,*,15,28,53.57,243,2,2,76.9,8.68,6.89,0,0,,0
3,3,2012-09-23,24-254,TAM,@,DAL,L 10-16,*,10,28,35.71,110,1,1,45.2,3.93,3.04,1,1,1.00,0
4,4,2012-09-30,24-261,TAM,,WAS,L 22-24,*,24,39,61.54,299,1,1,83.2,7.67,7.03,2,8,4.00,0
5,5,2012-10-14,24-275,TAM,,KAN,W 38-10,*,15,26,57.69,328,3,1,124.7,12.62,13.19,3,5,1.67,0
6,6,2012-10-21,24-282,TAM,,NOR,L 28-35,*,24,42,57.14,420,3,0,115.2,10.00,11.43,1,13,13.00,0
7,7,2012-10-25,24-286,TAM,@,MIN,W 36-17,*,19,36,52.78,262,3,0,104.2,7.28,8.94,3,-1,-0.33,0
8,8,2012-11-04,24-296,TAM,@,OAK,W 42-32,*,18,30,60.00,247,2,0,108.6,8.23,9.57,5,22,4.40,0
9,9,2012-11-11,24-303,TAM,,SDG,W 34-24,*,14,20,70.00,210,2,0,137.5,10.50,12.50,1,4,4.00,0
10,10,2012-11-18,24-310,TAM,@,CAR,W 27-21,*,25,46,54.35,248,3,2,73.5,5.39,4.74,5,27,5.40,0
11,11,2012-11-25,24-317,TAM,,ATL,L 23-24,*,19,30,63.33,256,0,0,90.4,8.53,8.53,0,0,,0
12,12,2012-12-02,24-324,TAM,@,DEN,L 23-31,*,18,39,46.15,242,2,1,72.8,6.21,6.08,2,7,3.50,0
13,13,2012-12-09,24-331,TAM,,PHI,L 21-23,*,14,34,41.18,189,2,0,79.2,5.56,6.74,2,13,6.50,0
14,14,2012-12-16,24-338,TAM,@,NOR,L 0-41,*,26,47,55.32,279,0,4,37.5,5.94,2.11,2,8,4.00,0
15,15,2012-12-23,24-345,TAM,,STL,L 13-28,*,30,54,55.56,372,1,4,52.4,6.89,3.93,4,18,4.50,0
16,16,2012-12-30,24-352,TAM,@,ATL,W 22-17,*,19,35,54.29,222,1,1,71.4,6.34,5.63,1,1,1.00,0
,,16 Games,,,,,7-9-0,,306,558,54.84,4065,27,17,81.6,7.28,6.88,39,139,3.56,0
