
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts
1,1,2012-09-09,29-239,TAM,,CAR,W 16-10,10,4,47,11.75,0,0,0,,0,,0,0
2,2,2012-09-16,29-246,TAM,@,NYG,L 34-41,10,5,128,25.60,1,0,0,,0,,1,6
3,3,2012-09-23,29-253,TAM,@,DAL,L 10-16,7,1,29,29.00,0,0,0,,0,,0,0
4,4,2012-09-30,29-260,TAM,,WAS,L 22-24,11,6,100,16.67,1,1,2,2.00,0,,1,6
5,5,2012-10-14,29-274,TAM,,KAN,W 38-10,8,4,66,16.50,2,0,0,,0,,2,12
6,6,2012-10-21,29-281,TAM,,NOR,L 28-35,14,7,216,30.86,1,0,0,,0,,1,6
7,7,2012-10-25,29-285,TAM,@,MIN,W 36-17,6,2,40,20.00,0,0,0,,0,,0,0
8,8,2012-11-04,29-295,TAM,@,OAK,W 42-32,4,2,84,42.00,1,0,0,,0,,1,6
9,9,2012-11-11,29-302,TAM,,SDG,W 34-24,7,5,59,11.80,0,0,0,,0,,0,0
10,10,2012-11-18,29-309,TAM,@,CAR,W 27-21,11,6,94,15.67,1,0,0,,0,1,1,8
11,11,2012-11-25,29-316,TAM,,ATL,L 23-24,7,5,96,19.20,0,0,0,,0,,0,0
12,12,2012-12-02,29-323,TAM,@,DEN,L 23-31,8,3,55,18.33,0,0,0,,0,,0,0
13,13,2012-12-09,29-330,TAM,,PHI,L 21-23,10,6,131,21.83,1,0,0,,0,,1,6
14,14,2012-12-16,29-337,TAM,@,NOR,L 0-41,12,6,81,13.50,0,0,0,,0,,0,0
15,15,2012-12-23,29-344,TAM,,STL,L 13-28,15,7,108,15.43,0,0,0,,0,,0,0
16,16,2012-12-30,29-351,TAM,@,ATL,W 22-17,7,3,50,16.67,0,0,0,,0,,0,0
,,16 Games,,,,,7-9-0,147,72,1384,19.22,8,1,2,2.00,0,1,8,50
