
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,35-065,TAM,,CAR,L 14-20,*,22,35,62.86,183,2,2,71.5,5.23,3.80,3,27,9.00,0,0,0,0.0,0,0
2,2,2014-09-14,35-072,TAM,,STL,L 17-19,*,16,21,76.19,179,0,1,81.3,8.52,6.38,2,6,3.00,2,2,12,0.0,0,0
3,3,2014-09-18,35-076,TAM,@,ATL,L 14-56,*,5,12,41.67,58,0,1,22.2,4.83,1.08,0,0,,0,0,0,0.0,0,0
4,9,2014-11-09,35-128,TAM,,ATL,L 17-27,*,27,43,62.79,301,2,2,79.7,7.00,5.84,5,39,7.80,0,0,0,0.0,0,0
5,10,2014-11-16,35-135,TAM,@,WAS,W 27-7,*,15,23,65.22,288,2,0,137.5,12.52,14.26,3,8,2.67,0,0,0,0.0,0,0
6,11,2014-11-23,35-142,TAM,@,CHI,L 13-21,*,25,48,52.08,341,1,2,64.7,7.10,5.65,3,12,4.00,0,0,0,0.0,0,0
7,12,2014-11-30,35-149,TAM,,CIN,L 13-14,*,15,29,51.72,190,0,1,58.1,6.55,5.00,1,0,0.00,0,0,0,0.0,0,0
8,13,2014-12-07,35-156,TAM,@,DET,L 17-34,*,20,39,51.28,250,2,2,67.3,6.41,5.13,4,8,2.00,0,0,0,0.0,1,0
9,14,2014-12-14,35-163,TAM,@,CAR,L 17-19,*,13,28,46.43,154,1,1,60.7,5.50,4.61,2,21,10.50,1,1,6,0.0,0,0
10,15,2014-12-21,35-170,TAM,,GNB,L 3-20,*,12,26,46.15,147,0,1,48.1,5.65,3.92,0,0,,0,0,0,0.0,0,0
11,16,2014-12-28,35-177,TAM,,NOR,L 20-23,*,14,23,60.87,115,1,1,70.0,5.00,3.91,2,6,3.00,0,0,0,0.0,0,0
,,11 Games,,,,,1-10-0,,184,327,56.27,2206,11,14,70.5,6.75,5.49,25,127,5.08,3,3,18,0.0,1,0
