
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,25-327,CLE,,MIA,L 10-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,103,25.75,0,0,0,0.0,0,0
2,2,2013-09-15,25-334,CLE,@,BAL,L 6-14,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,44,22.00,0,0,0,0.0,0,0
3,3,2013-09-22,25-341,CLE,@,MIN,W 31-27,4,17,4.25,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
4,4,2013-09-29,25-348,CLE,,CIN,W 17-6,6,9,1.50,0,2,2,20,10.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
5,5,2013-10-03,25-352,CLE,,BUF,W 37-24,2,8,4.00,0,1,1,-5,-5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
6,6,2013-10-13,25-362,CLE,,DET,L 17-31,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
7,8,2013-11-03,26-018,TAM,@,SEA,L 24-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,2013-11-11,26-026,TAM,,MIA,W 22-19,8,45,5.63,1,1,1,11,11.00,0,0,0,,0,0,0,,,,1,15,15.00,0,1,6,0.0,0,0
9,10,2013-11-17,26-032,TAM,,ATL,W 41-28,30,163,5.43,2,2,2,4,2.00,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,3,18,0.0,0,0
10,11,2013-11-24,26-039,TAM,@,DET,W 24-21,18,35,1.94,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
11,12,2013-12-01,26-046,TAM,@,CAR,L 6-27,17,63,3.71,0,3,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
12,13,2013-12-08,26-053,TAM,,BUF,W 27-6,22,127,5.77,1,4,3,-4,-1.33,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
13,14,2013-12-15,26-060,TAM,,SFO,L 14-33,11,27,2.45,0,1,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
14,15,2013-12-22,26-067,TAM,@,STL,L 13-23,20,37,1.85,1,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
15,16,2013-12-29,26-074,TAM,@,NOR,L 17-42,11,35,3.18,0,2,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,1,0
,,15 Games,,,,,7-8-0,150,566,3.77,5,19,15,46,3.07,1,0,1,0.00,0,0,0,39.6,0.00,0.00,7,162,23.14,0,6,36,0.0,1,0
