
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,24-116,TAM,,DET,L 20-27,10,4,50,12.50,1,0,0,,0,1,6,0.0,0,0
2,2,2011-09-18,24-123,TAM,@,MIN,W 24-20,4,1,-4,-4.00,0,0,0,,0,0,0,0.0,1,0
3,3,2011-09-25,24-130,TAM,,ATL,W 16-13,8,5,43,8.60,0,0,0,,0,0,0,0.0,0,0
4,4,2011-10-03,24-138,TAM,,IND,W 24-17,8,5,66,13.20,0,1,3,3.00,0,0,0,0.0,0,0
5,5,2011-10-09,24-144,TAM,@,SFO,L 3-48,9,4,28,7.00,0,0,0,,0,0,0,0.0,1,0
6,6,2011-10-16,24-151,TAM,,NOR,W 26-20,13,6,59,9.83,0,0,0,,0,0,0,0.0,0,0
7,7,2011-10-23,24-158,TAM,,CHI,L 18-24,11,6,75,12.50,0,0,0,,0,0,0,0.0,1,0
8,8,2011-11-06,24-172,TAM,@,NOR,L 16-27,8,6,46,7.67,0,0,0,,0,0,0,0.0,0,0
9,9,2011-11-13,24-179,TAM,,HOU,L 9-37,5,2,43,21.50,0,0,0,,0,0,0,0.0,0,0
10,10,2011-11-20,24-186,TAM,@,GNB,L 26-35,11,7,83,11.86,1,0,0,,0,1,6,0.0,0,0
11,11,2011-11-27,24-193,TAM,@,TEN,L 17-23,11,6,84,14.00,1,0,0,,0,1,6,0.0,1,0
12,12,2011-12-04,24-200,TAM,,CAR,L 19-38,9,5,93,18.60,0,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,24-207,TAM,@,JAX,L 14-41,7,3,35,11.67,0,0,0,,0,0,0,0.0,1,0
14,14,2011-12-17,24-213,TAM,,DAL,L 15-31,0,,,,,,,,,,,,,
15,15,2011-12-24,24-220,TAM,@,CAR,L 16-48,8,4,39,9.75,0,0,0,,0,0,0,0.0,0,0
16,16,2012-01-01,24-228,TAM,@,ATL,L 24-45,2,1,31,31.00,0,0,0,,0,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,124,65,771,11.86,3,1,3,3.00,0,3,18,0.0,5,0
