
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-08,23-154,TAM,@,NYJ,L 17-18,,,,,,,,,,,,,,
2,2,2013-09-15,23-161,TAM,,NOR,L 14-16,,,,,,,,,,,,,,
3,3,2013-09-22,23-168,TAM,@,NWE,L 3-23,2,1,6,6.00,0,0,0,,0,0,0,0.0,0,1
4,4,2013-09-29,23-175,TAM,,ARI,L 10-13,6,5,41,8.20,0,0,0,,0,0,0,0.0,1,0
5,5,2013-10-13,23-189,TAM,,PHI,L 20-31,9,7,91,13.00,0,0,0,,0,0,0,0.0,0,0
6,6,2013-10-20,23-196,TAM,@,ATL,L 23-31,3,2,15,7.50,0,0,0,,0,0,0,0.0,0,0
7,7,2013-10-24,23-200,TAM,,CAR,L 13-31,8,5,48,9.60,1,0,0,,0,1,6,0.0,0,0
8,8,2013-11-03,23-210,TAM,@,SEA,L 24-27,4,4,58,14.50,1,0,0,,0,1,6,0.0,0,0
9,9,2013-11-11,23-218,TAM,,MIA,W 22-19,1,1,19,19.00,0,0,0,,0,0,0,0.0,0,0
10,10,2013-11-17,23-224,TAM,,ATL,W 41-28,2,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
11,11,2013-11-24,23-231,TAM,@,DET,W 24-21,9,8,75,9.38,0,0,0,,0,0,0,0.0,1,0
12,12,2013-12-01,23-238,TAM,@,CAR,L 6-27,3,2,17,8.50,0,0,0,,0,0,0,0.0,0,0
13,13,2013-12-08,23-245,TAM,,BUF,W 27-6,4,2,21,10.50,1,0,0,,0,1,6,0.0,0,0
14,14,2013-12-15,23-252,TAM,,SFO,L 14-33,9,7,82,11.71,1,0,0,,0,1,6,0.0,0,0
15,15,2013-12-22,23-259,TAM,@,STL,L 13-23,6,4,27,6.75,0,0,0,,0,0,0,0.0,0,0
16,16,2013-12-29,23-266,TAM,@,NOR,L 17-42,10,5,58,11.60,1,1,2,2.00,0,1,6,0.0,0,0
,,16 Games,,,,,4-12-0,76,54,571,10.57,5,1,2,2.00,0,5,30,0.0,2,1
