
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2011-09-11,30-284,WAS,,NYG,W 28-14,7,3,54,18.00,1,1,6,0.0,0,0
2,2,2011-09-18,30-291,WAS,,ARI,W 22-21,8,5,62,12.40,0,0,0,0.0,0,0
3,3,2011-09-26,30-299,WAS,@,DAL,L 16-18,6,5,60,12.00,0,0,0,0.0,0,0
4,4,2011-10-02,30-305,WAS,@,STL,W 17-10,4,4,62,15.50,0,0,0,0.0,0,0
5,5,2011-10-16,30-319,WAS,,PHI,L 13-20,10,2,55,27.50,0,0,0,0.0,1,0
6,6,2011-10-23,30-326,WAS,@,CAR,L 20-33,8,4,68,17.00,0,0,0,0.0,0,0
7,7,2011-10-30,30-333,WAS,@,BUF,L 0-23,5,4,40,10.00,0,0,0,0.0,0,0
8,8,2011-11-06,30-340,WAS,,SFO,L 11-19,5,4,40,10.00,1,1,6,0.0,0,0
9,9,2011-11-13,30-347,WAS,@,MIA,L 9-20,6,3,37,12.33,0,0,0,0.0,0,0
10,10,2011-11-20,30-354,WAS,,DAL,L 24-27,10,7,115,16.43,1,1,6,0.0,0,0
11,11,2011-11-27,30-361,WAS,@,SEA,W 23-17,7,5,72,14.40,0,0,0,0.0,0,0
12,12,2011-12-04,31-003,WAS,,NYJ,L 19-34,3,0,0,,0,0,0,0.0,0,0
13,13,2011-12-11,31-010,WAS,,NWE,L 27-34,8,6,92,15.33,1,1,6,0.0,0,0
14,14,2011-12-18,31-017,WAS,@,NYG,W 23-10,9,6,85,14.17,0,0,0,0.0,1,0
15,15,2011-12-24,31-023,WAS,,MIN,L 26-33,8,6,77,12.83,1,1,6,0.0,0,0
16,16,2012-01-01,31-031,WAS,@,PHI,L 10-34,10,4,28,7.00,0,0,0,0.0,0,0
,,16 Games,,,,,5-11-0,114,68,947,13.93,5,5,30,0.0,2,0
