
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,26-032,WAS,@,NOR,W 40-32,4,4,109,27.25,1,0,0,,0,1,6
2,4,2012-09-30,26-053,WAS,@,TAM,W 24-22,1,1,20,20.00,0,0,0,,0,0,6
3,5,2012-10-07,26-060,WAS,,ATL,L 17-24,7,3,24,8.00,0,0,0,,0,0,0
4,10,2012-11-18,26-102,WAS,,PHI,W 31-6,3,3,5,1.67,0,0,0,,0,0,0
5,11,2012-11-22,26-106,WAS,@,DAL,W 38-31,7,4,86,21.50,1,1,7,7.00,0,1,6
6,12,2012-12-03,26-117,WAS,,NYG,W 17-16,11,8,106,13.25,1,0,0,,0,1,6
7,13,2012-12-09,26-123,WAS,,BAL,W 31-28,9,5,83,16.60,1,1,2,2.00,0,1,6
8,14,2012-12-16,26-130,WAS,@,CLE,W 38-21,12,6,65,10.83,0,0,0,,0,0,0
9,15,2012-12-23,26-137,WAS,@,PHI,W 27-20,9,7,89,12.71,0,0,0,,0,0,0
10,16,2012-12-30,26-144,WAS,,DAL,W 28-18,5,3,46,15.33,0,0,0,,0,0,0
,,10 Games,,,,,9-1-0,68,44,633,14.39,4,2,9,4.50,0,4,30
