
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,28-030,WAS,@,HOU,L 6-17,12,10,77,7.70,0,0,0,,0,0,0,,,,0,0,0.0,0,0
2,2,2014-09-14,28-037,WAS,,JAX,W 41-10,4,1,12,12.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
3,3,2014-09-21,28-044,WAS,@,PHI,L 34-37,16,11,138,12.55,1,0,0,,0,0,0,,,,1,6,0.0,0,0
4,4,2014-09-25,28-048,WAS,,NYG,L 14-45,6,2,28,14.00,0,0,0,,0,0,0,,,,0,0,0.0,1,0
5,5,2014-10-06,28-059,WAS,,SEA,L 17-27,3,2,23,11.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,6,2014-10-12,28-065,WAS,@,ARI,L 20-30,6,4,31,7.75,1,0,0,,0,0,0,,,,1,6,0.0,0,0
7,7,2014-10-19,28-072,WAS,,TEN,W 19-17,6,5,87,17.40,1,0,0,,0,0,0,,,,1,6,0.0,0,0
8,8,2014-10-27,28-080,WAS,@,DAL,W 20-17,4,4,47,11.75,0,0,0,,0,0,0,,,,0,0,0.0,0,0
9,9,2014-11-02,28-086,WAS,@,MIN,L 26-29,5,3,15,5.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
10,10,2014-11-16,28-100,WAS,,TAM,L 7-27,2,1,6,6.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
11,11,2014-11-23,28-107,WAS,@,SFO,L 13-17,4,3,34,11.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,0.0,0,0
12,12,2014-11-30,28-114,WAS,@,IND,L 27-49,9,3,9,3.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
13,13,2014-12-07,28-121,WAS,,STL,L 0-24,11,9,95,10.56,0,0,0,,0,0,0,,,,0,0,0.0,0,0
14,14,2014-12-14,28-128,WAS,@,NYG,L 13-24,7,4,36,9.00,0,0,0,,0,0,0,,,,0,0,0.0,0,0
15,15,2014-12-20,28-134,WAS,,PHI,W 27-24,5,4,61,15.25,0,0,0,,0,0,0,,,,0,0,0.0,0,0
16,16,2014-12-28,28-142,WAS,,DAL,L 17-44,5,2,53,26.50,0,0,0,,0,0,0,,,,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,105,68,752,11.06,3,0,1,0.00,0,0,0,39.6,0.00,0.00,3,18,0.0,1,0
