
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,23-209,WAS,,PHI,L 27-33,*,30,49,61.22,329,2,2,77.7,6.71,5.69,5,24,4.80,0,,0,0,0.0,0,0
2,2,2013-09-15,23-215,WAS,@,GNB,L 20-38,*,26,40,65.00,320,3,1,104.2,8.00,8.38,4,1,0.25,0,,0,0,0.0,0,0
3,3,2013-09-22,23-222,WAS,,DET,L 20-27,*,32,50,64.00,326,0,1,74.2,6.52,5.62,6,37,6.17,0,,0,0,0.0,0,0
4,4,2013-09-29,23-229,WAS,@,OAK,W 24-14,*,18,31,58.06,227,1,0,91.7,7.32,7.97,3,10,3.33,0,,0,0,0.0,0,0
5,5,2013-10-13,23-243,WAS,@,DAL,L 16-31,*,19,39,48.72,246,0,1,58.3,6.31,5.15,9,77,8.56,0,,0,0,0.0,1,0
6,6,2013-10-20,23-250,WAS,,CHI,W 45-41,*,18,29,62.07,298,2,1,105.2,10.28,10.10,11,84,7.64,0,,0,0,0.0,0,0
7,7,2013-10-27,23-257,WAS,@,DEN,L 21-45,*,15,30,50.00,132,1,2,45.4,4.40,2.07,5,7,1.40,0,,0,0,0.0,0,0
8,8,2013-11-03,23-264,WAS,,SDG,W 30-24,*,23,32,71.88,291,0,1,86.8,9.09,7.69,6,17,2.83,0,,0,0,0.0,0,0
9,9,2013-11-07,23-268,WAS,@,MIN,L 27-34,*,24,37,64.86,281,3,0,114.8,7.59,9.22,7,44,6.29,0,,0,0,0.0,0,0
10,10,2013-11-17,23-278,WAS,@,PHI,L 16-24,*,17,35,48.57,264,2,1,81.1,7.54,7.40,10,44,4.40,0,1,0,2,0.0,0,0
11,11,2013-11-25,23-286,WAS,,SFO,L 6-27,*,16,26,61.54,118,0,1,56.3,4.54,2.81,4,27,6.75,0,,0,0,0.0,0,0
12,12,2013-12-01,23-292,WAS,,NYG,L 17-24,*,24,32,75.00,207,1,0,102.0,6.47,7.09,12,88,7.33,0,,0,0,0.0,0,0
13,13,2013-12-08,23-299,WAS,,KAN,L 10-45,*,12,26,46.15,164,1,1,63.6,6.31,5.35,4,29,7.25,0,,0,0,0.0,1,0
,,13 Games,,,,,3-10-0,,274,456,60.09,3203,16,12,82.2,7.02,6.54,86,489,5.69,0,1,0,2,0.0,2,0
