
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2013-09-09,24-276,WAS,,PHI,L 27-33,1,5,5.00,0,2,1,11,11.00,0,0,0,0.0,0,0
2,2,2013-09-15,24-282,WAS,@,GNB,L 20-38,0,0,,0,1,1,2,2.00,0,0,0,0.0,0,0
3,3,2013-09-22,24-289,WAS,,DET,L 20-27,0,0,,0,3,3,35,11.67,0,0,0,0.0,0,0
4,4,2013-09-29,24-296,WAS,@,OAK,W 24-14,13,41,3.15,1,3,2,43,21.50,0,1,6,0.0,0,0
5,5,2013-10-13,24-310,WAS,@,DAL,L 16-31,6,42,7.00,0,6,4,35,8.75,0,0,0,0.0,0,0
6,6,2013-10-20,24-317,WAS,,CHI,W 45-41,11,41,3.73,3,2,1,5,5.00,0,3,18,0.0,0,0
7,7,2013-10-27,24-324,WAS,@,DEN,L 21-45,5,11,2.20,0,1,1,14,14.00,0,0,0,0.0,0,0
8,8,2013-11-03,24-331,WAS,,SDG,W 30-24,2,23,11.50,0,1,1,6,6.00,0,0,0,0.0,0,0
9,9,2013-11-07,24-335,WAS,@,MIN,L 27-34,2,8,4.00,0,4,3,23,7.67,0,0,0,0.0,0,0
10,10,2013-11-17,24-345,WAS,@,PHI,L 16-24,3,39,13.00,0,4,3,11,3.67,0,0,0,0.0,0,0
11,11,2013-11-25,24-353,WAS,,SFO,L 6-27,7,26,3.71,0,1,1,7,7.00,0,0,0,0.0,1,0
12,12,2013-12-01,24-359,WAS,,NYG,L 17-24,4,6,1.50,0,4,4,34,8.50,0,0,0,0.0,0,1
13,13,2013-12-08,25-001,WAS,,KAN,L 10-45,1,5,5.00,0,4,1,2,2.00,0,0,0,0.0,0,0
14,14,2013-12-15,25-008,WAS,@,ATL,L 26-27,3,5,1.67,0,1,1,4,4.00,0,0,0,0.0,0,0
15,15,2013-12-22,25-015,WAS,,DAL,L 23-24,1,-2,-2.00,0,2,2,5,2.50,0,0,0,0.0,1,0
16,16,2013-12-29,25-022,WAS,@,NYG,L 6-20,3,24,8.00,0,3,2,14,7.00,0,0,0,0.0,0,0
,,16 Games,,,,,3-13-0,62,274,4.42,4,42,31,251,8.10,0,4,24,0.0,2,1
