
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,27-280,WAS,@,HOU,L 6-17,9,8,62,7.75,0,1,-9,-9.00,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,27-287,WAS,,JAX,W 41-10,2,1,19,19.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,3,2014-09-21,27-294,WAS,@,PHI,L 34-37,11,5,117,23.40,1,0,0,,0,0,0,,0,1,6,0.0,0,0
4,4,2014-09-25,27-298,WAS,,NYG,L 14-45,4,1,9,9.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,5,2014-10-06,27-309,WAS,,SEA,L 17-27,11,5,157,31.40,1,0,0,,0,0,0,,0,1,6,0.0,0,0
6,6,2014-10-12,27-315,WAS,@,ARI,L 20-30,5,3,115,38.33,1,1,5,5.00,0,0,0,,0,1,6,0.0,1,0
7,7,2014-10-19,27-322,WAS,,TEN,W 19-17,5,3,49,16.33,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,8,2014-10-27,27-330,WAS,@,DAL,W 20-17,7,6,136,22.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,9,2014-11-02,27-336,WAS,@,MIN,L 26-29,7,4,120,30.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
10,10,2014-11-16,27-350,WAS,,TAM,L 7-27,6,4,35,8.75,0,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
11,11,2014-11-23,27-357,WAS,@,SFO,L 13-17,5,2,39,19.50,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
12,12,2014-11-30,27-364,WAS,@,IND,L 27-49,6,5,84,16.80,1,0,0,,0,0,0,,0,1,6,0.0,0,0
13,14,2014-12-14,28-013,WAS,@,NYG,L 13-24,8,3,15,5.00,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
14,15,2014-12-20,28-019,WAS,,PHI,W 27-24,6,4,126,31.50,0,0,0,,0,0,0,,0,0,0,0.0,1,0
15,16,2014-12-28,28-027,WAS,,DAL,L 17-44,3,2,86,43.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
,,15 Games,,,,,4-11-0,95,56,1169,20.88,6,4,7,1.75,0,1,0,0.00,0,6,36,0.0,2,0
