
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,23-272,WAS,@,NOR,W 40-32,28,96,3.43,2,0,0,0,,0,2,12
2,2,2012-09-16,23-279,WAS,@,STL,L 28-31,16,89,5.56,0,0,0,0,,0,0,0
3,3,2012-09-23,23-286,WAS,,CIN,L 31-38,17,78,4.59,1,1,0,0,,0,1,6
4,4,2012-09-30,23-293,WAS,@,TAM,W 24-22,21,113,5.38,1,2,1,-4,-4.00,0,1,6
5,5,2012-10-07,23-300,WAS,,ATL,L 17-24,18,115,6.39,0,1,1,20,20.00,0,0,0
6,6,2012-10-14,23-307,WAS,,MIN,W 38-26,16,47,2.94,1,2,1,9,9.00,0,1,6
7,7,2012-10-21,23-314,WAS,@,NYG,L 23-27,22,120,5.45,0,2,2,10,5.00,0,0,0
8,8,2012-10-28,23-321,WAS,@,PIT,L 12-27,13,59,4.54,0,0,0,0,,0,0,0
9,9,2012-11-04,23-328,WAS,,CAR,L 13-21,13,76,5.85,0,1,0,0,,0,0,0
10,10,2012-11-18,23-342,WAS,,PHI,W 31-6,20,76,3.80,0,1,1,7,7.00,0,0,0
11,11,2012-11-22,23-346,WAS,@,DAL,W 38-31,24,113,4.71,1,0,0,0,,0,1,6
12,12,2012-12-03,23-357,WAS,,NYG,W 17-16,22,124,5.64,0,0,0,0,,0,0,0
13,13,2012-12-09,23-363,WAS,,BAL,W 31-28,23,129,5.61,1,1,0,0,,0,1,6
14,14,2012-12-16,24-004,WAS,@,CLE,W 38-21,27,87,3.22,2,2,2,6,3.00,0,2,12
15,15,2012-12-23,24-011,WAS,@,PHI,W 27-20,22,91,4.14,1,1,1,17,17.00,0,1,6
16,16,2012-12-30,24-018,WAS,,DAL,W 28-18,33,200,6.06,3,2,2,12,6.00,0,3,18
,,16 Games,,,,,10-6-0,335,1613,4.81,13,16,11,77,7.00,0,13,78
