
,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1,2014-09-07,25-269,WAS,@,HOU,L 6-17,14,91,6.50,0,0,0,0,,0,0,0,0.0,0,0
2,2,2014-09-14,25-276,WAS,,JAX,W 41-10,22,85,3.86,2,0,0,0,,0,2,12,0.0,0,0
3,3,2014-09-21,25-283,WAS,@,PHI,L 34-37,23,77,3.35,0,0,0,0,,0,0,0,0.0,0,0
4,4,2014-09-25,25-287,WAS,,NYG,L 14-45,12,63,5.25,1,3,3,27,9.00,0,1,6,0.0,0,0
5,5,2014-10-06,25-298,WAS,,SEA,L 17-27,13,29,2.23,0,1,1,-2,-2.00,0,0,0,0.0,0,0
6,6,2014-10-12,25-304,WAS,@,ARI,L 20-30,13,41,3.15,0,3,1,14,14.00,0,0,0,0.0,0,0
7,7,2014-10-19,25-311,WAS,,TEN,W 19-17,18,54,3.00,0,0,0,0,,0,0,0,0.0,1,0
8,8,2014-10-27,25-319,WAS,@,DAL,W 20-17,18,73,4.06,1,1,1,12,12.00,0,1,6,0.0,0,0
9,9,2014-11-02,25-325,WAS,@,MIN,L 26-29,19,92,4.84,2,3,2,17,8.50,0,2,12,0.0,0,0
10,10,2014-11-16,25-339,WAS,,TAM,L 7-27,20,96,4.80,0,3,2,36,18.00,0,0,0,0.0,0,0
11,11,2014-11-23,25-346,WAS,@,SFO,L 13-17,21,125,5.95,1,1,1,5,5.00,0,1,6,0.0,0,0
12,12,2014-11-30,25-353,WAS,@,IND,L 27-49,17,67,3.94,0,5,3,16,5.33,0,0,0,0.0,0,0
13,13,2014-12-07,25-360,WAS,,STL,L 0-24,8,6,0.75,0,3,1,11,11.00,0,0,0,0.0,1,0
14,14,2014-12-14,26-002,WAS,@,NYG,L 13-24,14,49,3.50,0,0,0,0,,0,0,0,0.0,0,0
15,15,2014-12-20,26-008,WAS,,PHI,W 27-24,21,83,3.95,1,0,0,0,,0,1,6,0.0,0,0
16,16,2014-12-28,26-016,WAS,,DAL,L 17-44,12,43,3.58,0,3,2,19,9.50,0,0,0,0.0,0,0
,,16 Games,,,,,4-12-0,265,1074,4.05,8,26,17,155,9.12,0,8,48,0.0,2,0
