
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,33-100,WAS,@,NOR,W 40-32,5,3,47,15.67,0,0,0,,0,0,0
2,2,2012-09-16,33-107,WAS,@,STL,L 28-31,3,3,14,4.67,0,0,0,,0,0,0
3,3,2012-09-23,33-114,WAS,,CIN,L 31-38,3,1,3,3.00,1,0,0,,0,1,6
4,4,2012-09-30,33-121,WAS,@,TAM,W 24-22,4,3,33,11.00,0,0,0,,0,0,0
5,5,2012-10-07,33-128,WAS,,ATL,L 17-24,5,2,80,40.00,1,0,0,,0,1,6
6,6,2012-10-14,33-135,WAS,,MIN,W 38-26,4,4,46,11.50,0,0,0,,0,0,0
7,7,2012-10-21,33-142,WAS,@,NYG,L 23-27,4,3,67,22.33,2,0,0,,0,2,12
8,8,2012-10-28,33-149,WAS,@,PIT,L 12-27,9,4,21,5.25,1,0,0,,0,1,6
9,9,2012-11-04,33-156,WAS,,CAR,L 13-21,2,1,2,2.00,0,0,0,,0,0,0
10,10,2012-11-18,33-170,WAS,,PHI,W 31-6,1,1,61,61.00,1,0,0,,0,1,6
11,11,2012-11-22,33-174,WAS,@,DAL,W 38-31,5,4,42,10.50,1,0,0,,0,1,6
12,12,2012-12-03,33-185,WAS,,NYG,W 17-16,0,0,0,,0,1,0,0.00,0,0,0
13,13,2012-12-09,33-191,WAS,,BAL,W 31-28,4,3,52,17.33,0,0,0,,0,0,0
14,14,2012-12-16,33-198,WAS,@,CLE,W 38-21,6,5,57,11.40,0,0,0,,0,0,0
15,15,2012-12-23,33-205,WAS,@,PHI,W 27-20,3,2,26,13.00,1,1,12,12.00,0,1,6
16,16,2012-12-30,33-212,WAS,,DAL,W 28-18,4,2,22,11.00,0,1,2,2.00,0,0,0
,,16 Games,,,,,10-6-0,62,41,573,13.98,8,3,14,4.67,0,8,48
